note,lang
"In the cup we taste creamy vanilla and subtle botanicals, as well as flavors of pear, honeydew, and citrus oil",en
"We’re tasting cooked raspberry and toffee like sweetness, as well as bright citrus zest and a black tea finish",en
rooibos tea and hibiscus,en
"Opening with vibrant red and tropical fruit aromatics, we find a deep sweetness in the cup characterized by a delightful milk chocolate and cooked fruit character as it cools",en
"Ashok’s highly detailed and intentional approach to processing is beautifully captured in this cup with flavors and aromatics of fresh marmalade, pomelo, sweet pastry, and milk chocolate",en
"red pear and red grape, as well as a mild clementine-like acidity and a rich hazelnut finish",en
"This cup has many of the fruit-forward flavors we’ve come to expect from these unique plant genetics: Plum and fruit taffy flavors with an herbal floral quality similar to rooibos tea or rosehip, followed by a sweet almond-like finish",en
"In the cup we find a notable Meyer lemon acidity, balanced by flavors of praline and dark chocolate",en
In the cup we taste juicy plum and a delicate orange acidity amidst a mildly floral base of Assam tea and marzipan,en
"The flavor profile is fruit forward but exceptionally clean, with flavors of fresh berries, apricot, and tropical fruit undertones, accompanied by classic Ethiopian florals and a balanced citrus acidity",en
ripe papaya and anjou pear,en
"Showcasing a dynamic balance of sweetness and acidity, we find comforting vanilla and caramel flavors in this coffee alongside sweet Meyer lemon, juicy kiwi, and subtle chamomile-like florals",en
"A delicate and accessible entry point to the gesha flavor profile, we find well-balanced flavors of floral honey, milk chocolate, and a delicate melon-like quality that contributes to a silky and round mouthfeel",en
"black cherry, blackberry, and baking spices",en
"golden raisin, followed by additional flavors of stone fruit, milk chocolate, and graham cracker in the cup",en
"pineapple, flaked coconut, and hibiscus",en
"A uniquely sweet Kenyan coffee, we find flavors of fresh bing cherry and candied lime peel in the cup, as well as an intriguing vanilla-like finish that reminds us of cream soda",en
"In the cup we find layers of ripe dark berries, plum, and nectarine, as well as a profoundly juicy and complex citrus acidity",en
"This particular Reserve Lot selection from Kamavindi offers juicy raspberry and stone fruit in the cup, supported by a deep brown sugar sweetness, and mouth watering citrus acidity",en
"A balanced and approachable cup, we taste a subtle pome fruit character similar to red apple, as well as milk chocolate and toasted almond in the finish",en
spice,en
"As we find with many of our favorite washed coffees from Burundi, this lot is rife with dried and fresh stone fruits flavors alongside subtle spices, sweet browning sugars, and a refreshing citrus acidity",en
"Bursting with flavors of jammy blackberry preserve, we taste additional layers of fresh pineapple, subtle lavender-like florals, and sweet cocoa in the finish",en
"A notably clean and refined natural, we find clear flavors of strawberry and citrus in the cup, balanced by delicate florals and creamy milk chocolate in the finish",en
"The flavor profile of this coffee reminds us of some our favorite coffees from Yemen, boasting an abundance of juicy plum, pomegranate, and citrus flavors, as well as a unique herbal florality similar to rooibos tea and cardamom",en
"This green tea, adorned with tippy white buds is a Taiwanese take on a Chinese classic made from the Qingxin cultivar.",en
"This lot, carefully preserved in deep freeze storage, offers a delicate profile of sweet citrus acidity, creamy milk chocolate, and subtle jasmine and spearmint florals",en
"hibiscus, dried apricot, and cooked berries, finishing with a clean black tea character",en
"Additionally, flavors of sweet cherry, yellow plum, and gentle citrus add nuanced depth and balance to the profile",en
"An impeccably balanced coffee, we taste a variety of cooked berry flavors and fresh citrus acidity, accompanied by a lasting dark-honey sweetness",en
"hibiscus and black tea, all beautifully balanced amidst a base of rich vanilla custard sweetness",en
"We taste juicy strawberry and melon in the cup alongside sweet vanilla and nougat, with an elegantly floral finish that reminds us of lemon verbena or chamomile",en
"Vanilla, Honeysuckle, and Papaya",en
"Florals, Starfruit, and Melon",en
"Florals, Pomelo, and Red Grape",en
"dark chocolate and toasted sesame, with a smooth intensity that’s perfect for everyday drinking",en
In the cup we taste a range of elegant florals from honeysuckle to jasmine as well as a creamy vanilla undertone that’s complimented by soft green grape and tropical fruit flavors reminiscent or ripe papaya,en
"A refined and refreshing coffee, we find plenty of citrus peel and floral aromatics on the nose, followed by flavors of ripe melon, sweet starfruit, and yellow plum",en
"An expression of her dedication, this mejorado variety separation from Rosa offers a comforting cup with flavors of rich milk chocolate, sweet cherry, pear, and praline",en
"brown sugar, stewed stone fruit, caramel, baking spice, and a citrus-black tea finish",en
"A wonderfully rich and balanced Reserve Lot selection, we find flavors of toasted almond and cooked red fruit in the cup, complemented by sweet browning sugars and cocoa in the finish",en
"This Reserve Lot selection is abundantly and elegantly floral, both aromatically and in the cup, with flavors and honeysuckle and hops that carry through the finish alongside subtle fruit flavors of red berry, clementine, and a plush, custard-like, vanilla sweetness",en
"In the cup, we find a notable depth of cooked raspbery and dark caramel sweetness along with a subtle honeyed florality and a mouth watering citrus acidity",en
"A notably balanced cup, we taste an abundance of sweet fruit flavors from apple to blackberry, subtle spices, and a soft and creamy mouthfeel",en
"This Reserve Lot selection from his 2024 harvest presents soft red fruit and floral honey aromatics that continue in the cup with flavors of strawberry, mild citrus, and delicate wafer cookie in the finish",en
brown butter or roasted winter squash,en
"This delicious Pink Bourbon selection reminds us of some of our favorite Kenyan coffees: Red currant jam and hibiscus with a mouth-watering acidity of lime and blood orange, balanced by an elegant black tea-like quality and sweet mulling spices in the finish",en
"This delicious Pink Bourbon selection reminds us of some of our favorite Kenyan coffees: Red currant jam and hibiscus with a mouth-watering acidity of lime and blood orange, balanced by an elegant black tea-like quality and sweet mulling spices in the finish",en
"Dried blueberry and delicate florals on the nose of this fruit-forward coffee from producer Marilyn Laucata are accompanied by flavors of red apple and vanilla wafer in the cup, as well as cocoa and a honeyed almond sweetness that lingers as the coffee cools",en
"Toffee, sweet almond, and peach on the nose introduce a delicate yet complex cup with prominent flavors of bergamot and citrus oil, accompanied by sweet cherry, melon, and coconut cream in the finish",en
"In addition to an abundance of citrusy florals on the nose, we find plenty of delicately sweet floral honey in the cup along with tart pomelo, stone fruit, and gooseberry, as well as a distinct currant note as the coffee cools",en
"Milk chocolate and honey on the nose introduce a plush and sweet cup characterized by gentle orange acidity, a creamy and coating mouthfeel, and flavors of cocoa, cherry, and delicate peach as the coffee cools",en
"This washed AA grade lot from the farm of Dedan Kimathi University in Nyeri, Kenya is still singing with juicy blackcurrant, cola, and key lime flavors accompanied by a rich toffee finish",en
fresh strawberry on the finish,en
fresh strawberry on the finish,en
"In the cup, we taste milk chocolate, toasted almonds, and stone fruit sweetness alongside flavors of fresh fig and lime",en
sweet grain and cracked black pepper,en
"A notably balanced cup, we taste satisfying flavors of dark chocolate and black plum, with a finish that reminds us of rich red wine",en
"This delicious Pink Bourbon selection reminds us of some of our favorite Kenyan coffees: Red currant jam and hibiscus with a mouth-watering acidity of lime and blood orange, balanced by an elegant black tea-like quality and sweet mulling spices in the finish",en
"vanilla and caramel, demonstrating the benefits of extremely high-elevation coffee production and the skill of this award-winning producer",en
"Expect many of the deeply sweet flavors we’ve come to love from this coffee each year: butterscotch and brown butter complimented by rich cocoa and toasted almonds, all nicely balanced by a subtle orange-like acidity",en
"honeysuckle and vanilla are present both aromatically and in the cup, accompanied by flavors of creamy milk chocolate and Meyer lemon, as well as a mi",en
apple cider,en
cooked pineapple and raspberry that emerge as the coffee cools,en
"In the cup, juicy Meyer lemon is accompanied by delicately sweet flavors of apple and poached pear, alongside sweet pastry and nectarine in the finish",en
"In the cup, striking aromatics of jasmine are accompanied by flavors of fresh raspberry, milk chocolate, orange peel, and a deeply sweet browning sugar quality that carries through a persistently floral finish",en
"The result of the meticulous approach to dry processing at Gesha Village Estate is on full display in this exceedingly clean, complex, and sweet cup",en
"In the cup, broad tropical fruit complexity, as well as a candy-like peach and watermelon sweetness, is further accompanied by flavors of starfruit, jasmine, and sweet cream in the finish",en
"This tea is a lovely blend of our smooth China Breakfast black tea, vanilla rooibos, spices, carrots and coconut",en
"Tart cranberry and cherry are accompanied by a toffee-like sweetness alongside flavors of orange marmalade, vanilla, and subtly spiced milk chocolate, making for a perfect pairing with a wide array of sweet and savory seasonal dishes",en
"This single-producer washed lot from Sidama exhibits all the hallmarks of the finest washed Ethiopian coffees: deeply sweet floral aromatics alongside fresh citrus and stone fruit flavors, beautifully balanced by a silky body and delicate black tea finish",en
mango and pineapple in the cup,en
"rhubarb, panela, and hibiscus",en
"In the cup, we find aromatics of lemongrass and cocoa as well as subtle flavors of pear and sweet malted chocolate",en
vanilla,en
molasses and gingerbread,en
"Ripe fig and soft spices on the nose introduce a classic washed Burundi profile, replete with complex flavors of dried stone fruits, citrus peel, and a floral black tea finish",en
"While the parainema variety has remained a perennially contentious topic, we at Passenger have always found this unique flavor profile, with its dynamic mix of citrus, tropical fruit flavors, and complex baking spices, to be very intriguing and enjoyable",en
ripe fig and fresh garden tomato with subtle black tea and hazelnut emerging to support a creamy chocolate finish,en
"We find aromatics of blackcurrant, grapefruit, and tropical fruit, leading to a cup profile with toffee-like sweetness and juicy flavors of gooseberry and peach",en
"Exhibiting impeccable balance and approachability, this coffee opens with delicate aromas of honey and milk chocolate, followed by an integrated citrus acidity and soft fruit sweetness in the cup, evoking juicy clementine and poached pear",en
"Dried blueberry and delicate florals on the nose of this fruit-forward coffee from producer Marilyn Laucata are accompanied by flavors of red apple and vanilla wafer in the cup, as well as cocoa and a honeyed almond sweetness that lingers as the coffee cools",en
"a Kenyan coffee, this washed lot from Espirito Santo is as deeply sweet as it is bright and juicy",en
spearmint present throughout,en
stonefruit,en
"One of the ten most famous teas in China, Lu’an Guapian translates to “melon seed”  in which the peculiar shape of the leaves resemble.",en
"In the cup, we taste zucchini, the sweetness of a melon, florality that lingers and a subtle herbal note",en
"Three years later, we still find the delicate elegance we remember from this coffee: Layered aromatics of violet, fresh apricot, and raw honey introduce a cup profile offering a delightfully creamy mouthfeel and enticing flavors of honeysuckle, vanilla, and white peach",en
"blood orange and lemon peel, with additional flavors of black tea and stone fruit emerging as the coffee cools",en
Sweet ripe strawberry and limeade flavors in the cup are accompanied by a plush and creamy mouthfeel with a juicy peach finish emerging as the coffee cools,en
Aromatics of floral honey and subtle baking spice introduce a cup with an inviting browning sugar sweetness that's accompanied by tangy green apple and brambleberry flavors that cool amidst a creamy base of milk chocolate and poached pear,en
"In the cup, clear cherry flavors accompany red apple, nut brittle, and vanilla wafer, followed by a satisfying chocolate and stone fruit finish",en
blackberry crumble and juicy nectarine in the cup are supported by browning sugars and a pleasant base of rich cocoa in the finish,en
"baked apple, while subtle stone fruit and baking spice emerge amidst a base of creamy milk chocolate as the coffee cools",en
"Inviting aromas of orange marmalade, nougat, and milk chocolate introduce this elegantly balanced and nuanced coffee from producer Mercedes Flores",en
"This inviting coffee from producer Mesias Ibarra of our Cusco Foundational partnership opens with subtle aromatics of green grape, almond, and milk chocolate",en
"In the cup, flavors of fresh pear and honey-like florals are complemented by an integrated citrus acidity and satisfying nut brittle sweetness",en
"In the cup, flavors of citrus oil, berries, and apricot are accompanied by a delightfully round mouthfeel, with additional flavors of ripe mango and vanilla emerging as the coffee cools",en
"Exhibiting many of the hallmarks of a classic ‘Great Lakes’ profile, expect lime and dark cherry on the nose of this coffee, followed by sweet plum and caramel flavors that are pleasantly balanced by a cocoa and black tea finish",en
"blood orange, with a delightful browning sugar sweetness emerging as the coffee cools",en
"This intriguing Aramosa selection from Daterra exhibits abundant aromas of dark chocolate, toasted almond, and honey on the nose",en
"In the cup, dark plum and grape flavors are complemented by a delicate orange acidity as well as a rich chocolate character and a sweet herbal quality in the finish",en
"This washed bourbon ají variety selection exhibits inviting aromas of spiced berry jam, toffee, and citrus peel on the nose",en
"A vibrant acidity of lime and grapefruit in the cup is accompanied by additional layers of strawberry and subtle tropical fruit as the coffee cools, with delicate floral and browning sugar notes akin to panela emerging in the finish",en
a bird’s nest,en
"gyokuro, providing a silky, rich cup",en
"This medium oxidized oolong was harvested from Bagua Shan Mountain.  Charcoal roasted, this tea went through three roasting cycles for 8 hours each time, allowing a week of rest between cycles.",en
sweet bread and tropical fruit,en
"This medium oxidized oolong was harvested from Shanlin Xi Mountain at a high elevation of 1300 meters above sea level. Charcoal roasted, this tea went through two roasting cycles for 5 hours each time, allowing a week of rest between cycles.",en
persimmon and honeysuckle,en
"cooked fruit, florals and a pleasant smokiness that lingers",en
"In the cup we taste clementine, rose and a honey sweetness",en
"honeysuckle and vanilla are present both aromatically and in the cup, accompanied by flavors of creamy milk chocolate and Meyer lemon, as well as a mi",en
"Expect many of the deeply sweet flavors we’ve come to love from this coffee: butterscotch and brown butter complimented by rich cocoa and toasted almonds, all nicely balanced by a subtle orange-like acidity",en
"Produced by our friends and Passenger alumni, Swift Coffee, who extract and freeze-dry Passenger-roasted coffee to create a cup that can be enjoyed anywhere. Each box includes six packets with 5 grams of instant coffee. Just add 8–10 ounces of hot or cold water, stir, and enjoy.",en
"dark chocolate, caramel, and toasted nuts",en
"Sugarcane or Water Process for a clean, sweet profile",en
"The rich, malted chocolate and maple syrup qualities of this incredibly sweet decaffeinated coffee from Colombia prove that no decaf drinker should ever need to compromise on flavor",en
"pear and creamy vanilla on the nose introduce a delightfully sweet and balanced profile with juicy blackcurrant, cola, and key lime flavors accompanie",en
Lime and dark cherry on the nose introduce a sweet and satisfying Kivu profile with plum and caramel flavors that are pleasantly balanced by a cocoa and black tea finish,en
"brown sugar and cranberry on the nose introduce a dynamic and deeply sweet Nyeri profile replete with tropical fruit, red currant, and citrus flavors",en
"An aroma of caramel and sweet pastry precedes a plush and coating mouthfeel in the cup, accompanied by flavors of vanilla custard, meyer lemon, and a soft tropical fruit sweetness that lingers as the coffee cools",en
"Subtle florals, raspberry, and wafer cookie on the nose introduce a cup offering a delightfully clean acidity, excellent sweetness, and a black tea finish",en
"Gentle browning sugars in the fragrance introduce a cup with delicate passionfruit and floral qualities, while the body delivers a plush caramel and vanilla custard sweetness that carries through the finish",en
"In addition to an abundance of citrusy florals on the nose, we find plenty of delicately sweet floral honey in the cup along with tart pomelo, stone fruit, and gooseberry, as well as a distinct currant note as the coffee cools",en
"plum, black cherry, and black currant in the cup, culminating in a pleasantly soft mouth feel and balanced finish",en
"Produced by the Elmore family of Star Bright Farm, this chamomile is rich, sweet, and comforting",en
mild honey and refreshing menthol,en
"Milk chocolate and honey on the nose introduce a plush and sweet cup characterized by gentle orange acidity, a creamy and coating mouthfeel, and flavors of cocoa, cherry, and delicate peach as the coffee cools",en
"Returning to the Reserve Lot menu with yet another competition-winner, producer Edwin Rodriguez offers up a classically sweet and balanced cup with this pink bourbon variety selection",en
"In the cup, tart lime peel is complemented by flavors of maraschino, nectarine, and a rich toffee sweetness that presents harmoniously amidst a base of milk chocolate",en
"The hallmark qualities of Ethiopian coffee abound in this refreshing and balanced cup, with flavors of stone fruit, florals, and a sweet toffee-like finish",en
"Toffee, sweet almond, and peach on the nose introduce a delicate yet complex cup with prominent flavors of bergamot and citrus oil, accompanied by sweet cherry, melon, and coconut cream in the finish",en
"Meyer lemon, cane sugar, and pomelo",en
"Meyer lemon, cane sugar, and pomelo",en
lengthening days and bright sunlight,en
"apricot jam, rhubarb, and peony",en
lengthening days and bright sunlight,en
"apricot jam, rhubarb, and peony",en
"tangerine, pink lemonade, and mango",en
"tangerine, pink lemonade, and mango",en
"guava, lychee, and violet",en
"passion fruit, lilac, and cane sugar",en
"guava, lychee, and violet",en
"passion fruit, lilac, and cane sugar",en
"fruit punch, cherry blossom, and plum",en
"fruit punch, cherry blossom, and plum",en
"caramel and brown sugar, and a 12oz bag of dito spark, a full-bodied blend of vibrant coffees from Central and South America",en
"Auto MilQ™ delivers silky microfoam hands-free, with settings optimized for dairy, soy, almond and oat, plus Auto Queue your milk to start automatically once extraction has finished",en
"sweet caramel and warm brown sugar, no matter how you brew it - this blend of South American coffees is your new no-brainer morning ritual",en
"cherry and sweet milk chocolate, ideal for igniting your morning",en
"cherry and sweet milk chocolate, ideal for igniting your morning",en
"sweet caramel and warm brown sugar, no matter how you brew it - this blend of South American coffees is your new no-brainer morning ritual",en
"DRIED FRUITS AND RED TEAS, IS A UNIQUE EXPRESSION OF COFFEE’S FLAVOR What is cascara? Coffee begins its life as the seed of a small fruit that’s often",en
dried fruits and red teas,en
deep chocolate and cherry in this balanced cup,en
citrus and stone fruit from this full-bodied coffee,en
"This foundation gets blended with coffee from East Africa with bright citrus and soft, fruity acidity",en
deep chocolate and cherry in this balanced cup,en
"This foundation gets blended with coffee from East Africa with bright citrus and soft, fruity acidity",en
citrus and stone fruit from this full-bodied coffee,en
"DRIED FRUITS AND RED TEAS, IS A UNIQUE EXPRESSION OF THE COFFEE CHERRY What is cascara? Coffee begins its life as the seed of a small fruit that’s oft",en
dried fruits and red teas,en
"Brewing one to three delicious cups of American or espresso-style coffee in about a minute, with a clean up time of only a few seconds, the AeroPress is ideal for brewing rich, smooth coffee without acidity or bitterness",en
"ROAST | Medium ORIGIN | Oromia, Ethiopia | Huila, Colombia NOTES | peach, complex citrus, black tea, milk chocolate CURRENT BLEND COMPONENTS | 85% Refisa - Washed | 15% Gigante - Peach They say you can't have it both ways",en
"hibiscus, strawberry-kiwi, cherry cola, and chocolate",en
"The body is round and full, and the sweetness has some real depth to it, reminding us of dark honey",en
"hops is both surprising and delightful, and it’s one of the many reasons this stunning coffee stands out on the cupping table",en
"With vibrant florals, like jasmine, and fresh citrus, like yuzu, this coffee just drinks special",en
"It has loads of sweetness, like a jar of wildflower honey",en
"ROAST | Medium ORIGIN | Oromia, Ethiopia | Huila, Colombia NOTES | peach, complex citrus, black tea, milk chocolate CURRENT BLEND COMPONENTS | 85% Refisa - Washed | 15% Gigante - Peach They say you can't have it both ways",en
"It’s still floral and sweet at this temperature, reminding us of floral honey",en
"Tropical notes, like mango, hint at some of those lots which underwent more extensive fermentation",en
"Citrus, like meyer lemon, lends a crisp, clean acidity to the cup",en
"When cool, the coffee becomes juicy in texture and acidity peaks, and tropical fruits take on a bigger presence",en
"Tropical notes, like mango, hint at some of those lots which underwent more extensive fermentation",en
"Citrus, like meyer lemon, lends a crisp, clean acidity to the cup",en
"Fruit-forward and tropical, this coffee reminds us of cherry popsicles and mango sorbet",en
"our favorite Kenyan coffees, this coffee brims with sweetness, particularly expressed as toffee",en
black tea,en
"Oddly reminiscent of our favorite Kenyan coffees, this coffee brims with sweetness, particularly expressed as toffee",en
"It’s expressive and tropical, offering additional fruit vibes like mango candy",en
"It’s expressive and tropical, offering additional fruit vibes like mango candy",en
"TAKE A SIP | Berry aromatics burst from the cup, while floral notes rise up to create the sensation of citrus, specifically like bergamot",en
"Taste the coffee and you’re greeted by that same citrus and berry—raspberry, to be precise",en
"It’s very floral and super sweet, but as you taste closely, you may notice it has a more fruited character that derives from the honey processing",en
"TAKE A SIP | Fresh, sweet, and floral, this coffee exemplifies so much of what we love about Ethiopian-grown beans",en
"strawberry candy hints at the tinkering Diego’s done with this lot, but it’s certainly not the loudest offering on his cupping table",en
"It boasts a clean and vibrant acidity, like Meyer lemons, and leaves us swooning over delicate stone fruit notes, like apricot",en
"strawberry candy hints at the tinkering Diego’s done with this lot, but it’s certainly not the loudest offering on his cupping table",en
"It boasts a clean and vibrant acidity, like Meyer lemons, and leaves us swooning over delicate stone fruit notes, like apricot",en
Producer | Jorge Raul Rivera,en
"our favorite Kenyan coffees, this coffee brims with sweetness, particularly expressed as toffee",en
black tea,en
"Oddly reminiscent of our favorite Kenyan coffees, this coffee brims with sweetness, particularly expressed as toffee",en
"The sweetness is deep and confectionary in nature, reminding us of maple and maple almond toffee",en
"The sweetness is deep and confectionary in nature, reminding us of maple and maple almond toffee",en
"Peaches, plums, and vanilla shine at this temperature",en
"A honey-like sweetness starts to take shape here, and Honeycrisp apple emerges",en
"That honey-like sweetness intensifies, like dark honey",en
"Peach still persists, reminding us at this temperature of fresh yellow peaches",en
"The coffee itself is remarkably sweet, and the play between that confectionary sweetness and the unmistakable cinnamon flavors leaves us contemplating cinnamon rolls",en
"The texture is smooth and creamy, teaming up with all of those flavor notes to deliver a sipping experience like sweet horchata",en
"The body is round and full, and the sweetness has some real depth to it, reminding us of dark honey",en
"pink bubblegum, with raspberry and cherry providing a jammy undertone",en
a washed than a standard honey process,en
mango,en
"TAKE A SIP | The floral nose on this coffee might be a dead giveaway of its high-grown Ethiopian roots, but the tasting notes are just a tad off-profile, in really delicious ways! Tropical fruit, like lychee, can be turned up or down depending on how you choose to brew it",en
and,en
"TAKE A SIP | Tart cherry, peach gummies, tropical punch, chocolate truffle, spectacular",en
"Crazy complex, very nuanced, very balanced",en
"The finish is silky and sweet, reminding us of chocolate ganache—our preferred filling in all of those bon-bon filled heart boxes",en
"TAKE A SIP | The floral nose on this coffee might be a dead giveaway of its high-grown Ethiopian roots, but the tasting notes are just a tad off-profile, in really delicious ways! Tropical fruit, like lychee, can be turned up or down depending on how you choose to brew it",en
"Aromatic like white flowers and vibrant like complex citrus, sipping this coffee reminds us that warmer days and new beginnings lie ahead",en
Cheers.,en
"a French 75, and, honestly, we couldn’t agree more",en
"Citrus, like bergamot, and stone fruit, like apricot, make up the lion’s share of the fruit flavors in the cup",en
"hibiscus tea, with those aromas and flavors turned up to eleven",en
"Stone fruit, like white peaches, and a sweetness akin to floral honey nod back to the two varieties used in this lot",en
sipping a fruity milk tea—albeit without those strange little tapioca pearls,en
"In the cup, this coffee is vibrant, tropical, and smooth, reminding us of passionfruit candy and mango lassi",en
"hibiscus tea, with those aromas and flavors turned up to eleven",en
"Stone fruit, like white peaches, and a sweetness akin to floral honey nod back to the two varieties used in this lot",en
"Floral aromas play off peachy stone fruit, while citrus brings up the acidity",en
"ROAST | MEDIUM DARK ORIGIN | HULIA, COLOMBIA NOTES | CARAMEL, MILK CHOCOLATE, BALANCED The Sugarcane Decaffeination process is a natural process that not only maintains the integrity of the coffee flavor while allowing for greater transparency and efficiency",en
"ROAST | MEDIUM DARK ORIGIN | HULIA, COLOMBIA NOTES | CARAMEL, MILK CHOCOLATE, BALANCED The Sugarcane Decaffeination process is a natural process that not only maintains the integrity of the coffee flavor while allowing for greater transparency and efficiency",en
"Floral like gardenias and sweet like raw honey, this coffee also showcases delicate stone fruit, like white peaches",en
"This season's lot is sweet like powdered sugar and smooth like milk chocolate, with some pleasant stone fruit notes (like nectarine) accompanying that infamous grape flavor",en
"ROAST | MEDIUM DARK ORIGIN | CHINA | ETHIOPIA NOTES | RED FRUITS, CHOCOLATE AND BALANCED ACIDITY The Natural is the firstborn in the B&W coffee family, with its origins going all the way back to the first cafe that we opened",en
"It’s sweet and creamy, like marshmallow cream, and sips a lot like a peach boba tea—minus the tapioca pearls",en
"It’s sweet and creamy, like marshmallow cream, and sips a lot like a peach boba tea—minus the tapioca pearls",en
"Jorge Raul Rivera - Honey | ""Ur Grind Is Fine"" Finca Santa Rosa is renowned for its honey processes, and this Pacamara lot explains why we love these coffees from El Salvador.",en
"Los Nogales - Typica Virtuoso | ""Hot Stuff"" A single-variety lot from a renowned Colombian farm, Virtuoso bursts with deep sweetness and vibrant, fresh fruit acidity.",en
cherry and chocolate,en
"Tropical and sweet, we delighted in notes such as sour candy, cherry popsicle, and hibiscus tea",en
:,en
"At the finish, a surprising new note arises: like stone fruit but even sweeter, reminding us of peach rings",en
"An intense citric acidity rides alongside those floral attributes, hinting at citrus zest and fresh bergamot",en
"Peach gets louder, and melon comes into focus specifically as honeydew",en
"án’s fermentation underscores each note, ensuring dazzling acidity, vibrant flavors, and incredible texture.",en
"dried fruit, but this coffee showcases a more vibrant acidity",en
"more boozy indulgences, like hot chocolate spiked with amaretto",en
"50% Ushirika - Kenya (Ushirika, Kenya) 25% Huver Castillo - Red Berries (Buesaco, Nariño, Colombia) 25% Esteban Zamora - Cinnamon Anaerobic (San Marcos, Tarrazú, Costa Rica) SIP THE SEASON | Spiced an",en
"ROAST | Medium ORIGIN | COLOMBIA | ETHIOPIA NOTES | Lychee soda, sweet lemon, milk chocolate CURRENT BLEND COMPONENTS | 75% Aricha Washed | 25% José Posada - Lychee They say you can't have it both ways",en
"black tea, this coffee is a truly lovely example of what's possible with decaffeination processes today",en
"Cocktail cherry and port wine lead the acidity of this coffee, while milk chocolate hums quietly in the background",en
"TAKE A SIP | Big round red fruits, super duper sweet, really complex, tropical, really like a fruit cup",en
"Starts cherry, gets into tropicals, then finishes like high quality chocolate ganache",en
"Cocktail cherry and port wine lead the acidity of this coffee, while milk chocolate hums quietly in the background",en
"TAKE A SIP | Big round red fruits, super duper sweet, really complex, tropical, really like a fruit cup",en
"STarts cherry, gets into tropicals, then finishes like high quality chocolate ganache",en
___________________________________________________________________________,en
"It tastes tropical and sweet and moderately fermented, reminding us of tepache or a clean(ish) orange wine",en
caramel and milk chocolate at the forefront of each sip,en
"Sweetness prevails in the cup, with notes of caramel and milk chocolate at the forefront of each sip",en
"The texture is smooth like chocolate, but the notes are taken up a notch by that careful processing, reminding us of biting into a craft chocolate bar",en
"50% Ushirika - Kenya (Ushirika, Kenya) 25% Huver Castillo - Red Berries (Buesaco, Nariño, Colombia) 25% Esteban Zamora - Cinnamon Anaerobic (San Marcos, Tarrazú, Costa Rica) SIP THE SEASON | Spiced an",en
"maple syrup, this coffee is crowd-pleasing and versatile - making it an excellent single origin offering to share with friends and family for you, and",en
"50% Ushirika - Kenya (Ushirika, Kenya) 25% Huver Castillo - Red Berries (Buesaco, Nariño, Colombia) 25% Esteban Zamora - Cinnamon Anaerobic (San Marcos, Tarrazú, Costa Rica) SIP THE SEASON | Spiced an",en
"50% Ushirika - Kenya (Ushirika, Kenya) 25% Huver Castillo - Red Berries (Buesaco, Nariño, Colombia) 25% Esteban Zamora - Cinnamon Anaerobic (San Marcos, Tarrazú, Costa Rica) SIP THE SEASON | Spiced an",en
"But somehow, Gesha characteristics still shine through—primarily in the form of florality, like roses",en
"), with a tropical, fruity backbone that is equal parts vibrant and complex",en
"It’s boozy-but-also-sweet, like cherry cordial filling, and that sweetness feels smooth and creamy, like marzipan",en
"TAKE A SIP | Rodrigo Sanchez continues to wow us with his signature mango co-ferment! It remains perhaps the most balanced of all the co-ferment endeavors we've ever tasted, highlighting flavor properties of both its fermentation process and from the relatively rare Purple Caturra variety",en
"Vibrant, fresh, and delightfully fruity, this coffee forgoes some of the funk in favor of fresh, tropical flavors: mango, passion fruit, and piña colada",en
"Like a grab bag of spooky season treats, it features flavors akin to things like peach rings, Sweet Tarts, grape Jolly Ranchers, and gummy worms",en
"TAKE A SIP | When hot, this coffee is intensely floral and remarkably sweet, like wildflower honey",en
"It is delightfully floral, like cherry blossom, and sips a whole lot like peach iced tea",en
"It is delightfully floral, like cherry blossom, and sips a whole lot like peach iced tea",en
"baking spice on the finish and a somewhat unexpected floral quality in the cup, making this a truly unique natural-processed coffee, grown under a tru",en
"Cheers to the next eight years, friends.",en
Producer | YCA,en
"blueberries, strawberry candy, and milk chocolate connect us back to what Jeanne always loved about coffee, and, by extension, her community",en
"It’s floral, citrusy, and tea-like, reminding us of some of our favorite Ethiopian Gesha coffees",en
"This season's lot is sweet like powdered sugar and smooth like milk chocolate, with some pleasant stone fruit notes (like nectarine) accompanying that infamous grape flavor",en
"ROAST | MEDIUM DARK ORIGIN | ETHIOPIA NOTES | CARAMEL, BLACK CHERRY, MILK CHOCOLATE This Year-Round was the second coffee to come from B&W and focuses on the nostalgia and comfort that coffee can offer",en
"In the cup: In ""The Classic"" category you will see flavors such as caramelized sugars, subtle stone fruits, milk chocolate, and balanced acidity",en
attending high tea in London,en
"TAKE A SIP | Soft florals meet you as you raise your cup for a first sip, and a bright acidity like sweet meyer lemons accompanies your inaugural slurp",en
"ROAST | MEDIUM DARK ORIGIN | ETHIOPIA NOTES | CARAMEL, BLACK CHERRY, MILK CHOCOLATE This Year-Round was the second coffee to come from B&W and focuses on the nostalgia and comfort that coffee can offer",en
"In the cup: In ""The Classic"" category you will see flavors such as caramelized sugars, subtle stone fruits, milk chocolate, and balanced acidity",en
"milk chocolate, making this coffee one of the more approachable anaerobic naturals you’ll find on our cupping table",en
"This time around, the blend offers other fruity goodness as well, reminding us of mango candy and red fruit punch",en
